rank,formula,rank_score,uncertainty,recommendation,composition_at_percent,avg_melting_point_c,avg_density_g_cm3,avg_vec,size_mismatch_percent,risk_flags
1,W50Nb19.2V18.2Ti11.6Ta1,68.16,0.09,우선 DFT/소량 합성 후보,"{""W"": 50.02, ""Ta"": 0.98, ""Nb"": 19.17, ""Ti"": 11.62, ""V"": 18.21}",2757.7245,13.072,5.384,3.1702,
2,W50.9Nb16Ti14.7V9.6Ta8.8,68.14,0.09,우선 DFT/소량 합성 후보,"{""W"": 50.905, ""Ta"": 8.819, ""Nb"": 15.998, ""Ti"": 14.699, ""V"": 9.579}",2832.4504,13.8904,5.3621,3.0028,
3,W50.1Nb30.7Zr10.5Ti8.7,68.01,0.11,우선 DFT/소량 합성 후보,"{""W"": 50.125, ""Nb"": 30.683, ""Ti"": 8.671, ""Zr"": 10.521}",2815.0931,13.3556,5.3093,4.4705,
4,W50.2V14.6Ti12.9Nb11.9Ta10.4,67.97,0.09,2차 계산 검증 후보,"{""W"": 50.235, ""Ta"": 10.421, ""Nb"": 11.851, ""Ti"": 12.921, ""V"": 14.571}",2820.8412,13.8982,5.3731,3.1228,
5,W52.5Ti18.7Nb16.9V8.5Ta3.5,67.82,0.09,2차 계산 검증 후보,"{""W"": 52.55, ""Ta"": 3.45, ""Nb"": 16.88, ""Ti"": 18.66, ""V"": 8.46}",2793.2999,13.4968,5.3389,2.9822,
6,W51.6Nb27V15.4Ta4.7Ti1.3,67.74,0.09,2차 계산 검증 후보,"{""W"": 51.61, ""Ta"": 4.72, ""Nb"": 27.01, ""Ti"": 1.29, ""V"": 15.37}",2892.6185,14.0347,5.5032,3.0013,
7,W50.8Nb20.6Ta15.6V10.9Ti2.1,67.68,0.09,2차 계산 검증 후보,"{""W"": 50.76, ""Ta"": 15.62, ""Nb"": 20.64, ""Ti"": 2.12, ""V"": 10.86}",2962.303,14.9063,5.4864,2.9339,
8,W50.3Nb30.1Zr11.9Ta7.7,67.61,0.11,2차 계산 검증 후보,"{""W"": 50.26, ""Ta"": 7.68, ""Nb"": 30.11, ""Zr"": 11.95}",2919.1,14.3164,5.3831,4.6351,
9,W53.7Nb21.1V14.1Ti7.6Ta3.6,67.56,0.09,2차 계산 검증 후보,"{""W"": 53.685, ""Ta"": 3.59, ""Nb"": 21.058, ""Ti"": 7.579, ""V"": 14.089}",2862.5054,13.9407,5.4611,3.0003,
10,W54.2Nb31Ti6.1Ta5.1V3.6,67.56,0.09,2차 계산 검증 후보,"{""W"": 54.235, ""Ta"": 5.121, ""Nb"": 30.983, ""Ti"": 6.081, ""V"": 3.58}",2947.6828,14.4432,5.4815,2.6794,
11,W50.7Nb42.1Zr5Ti2.1,67.47,0.11,2차 계산 검증 후보,"{""W"": 50.75, ""Nb"": 42.1, ""Ti"": 2.13, ""Zr"": 5.02}",2908.1314,13.8007,5.436,3.611,
12,W50.1Ti20.5Nb18.8Ta10.6,67.47,0.11,2차 계산 검증 후보,"{""W"": 50.15, ""Ta"": 10.6, ""Nb"": 18.79, ""Ti"": 20.46}",2842.6361,13.9561,5.2969,2.608,
13,W50.5Nb27.1V17.8Ti4.6,67.44,0.11,2차 계산 검증 후보,"{""W"": 50.47, ""Nb"": 27.09, ""Ti"": 4.64, ""V"": 17.8}",2815.4779,13.3339,5.4583,3.0884,
14,W52.3Nb20.1Ti13.9Zr13.8,67.43,0.11,2차 계산 검증 후보,"{""W"": 52.29, ""Nb"": 20.07, ""Ti"": 13.86, ""Zr"": 13.78}",2773.3015,13.3094,5.2465,4.908,
15,W51.3Ta18Nb10.7V10.6Ti9.4,67.38,0.09,2차 계산 검증 후보,"{""W"": 51.305, ""Ta"": 18.022, ""Nb"": 10.651, ""Ti"": 9.431, ""V"": 10.591}",2922.8036,14.8693,5.4187,2.9832,
